regressor,SS36131-ROI#0,SS36131-ROI#1,SS38592-ROI#0,SS38592-ROI#1,SS38592-ROI#2,SS38592-ROI#3,SS38592-ROI#4,SS38592-ROI#5,SS27485-ROI#0,SS27485-ROI#1,SS27485-ROI#2,SS27485-ROI#3,SS41822-ROI#0,SS41822-ROI#1,SS38624-ROI#0,SS38624-ROI#1,SS38624-ROI#2,SS38624-ROI#3,SS45605-ROI#0,SS43652-ROI#0,SS43652-ROI#1,SS43652-ROI#2,SS43652-ROI#3,SS43652-ROI#4,SS36112-ROI#0,SS36112-ROI#1,SS41806-ROI#0,SS41806-ROI#1,SS41806-ROI#2,SS41806-ROI#3,SS38631-ROI#0,SS38631-ROI#1,SS51029-ROI#0,SS51029-ROI#1,SS51029-ROI#2,SS51029-ROI#3,R85A11-ROI#0,R85A11-ROI#1,R85A11-ROI#2,R85A11-ROI#3,R85A11-ROI#4,R85A11-ROI#5,SS40489-ROI#0,SS40489-ROI#1,SS40489-ROI#2,SS40489-ROI#3,SS40489-ROI#4,SS31480-ROI#0,SS31480-ROI#1,SS31480-ROI#2,SS51021-ROI#0,SS51021-ROI#1,SS51017-ROI#0,SS51017-ROI#1,SS31456-ROI#0,SS31456-ROI#1,SS46233-ROI#0,SS46233-ROI#1,SS42749-ROI#0,SS42749-ROI#1,SS41815-ROI#0,SS41815-ROI#1,SS29633-ROI#0,SS29633-ROI#1,SS29633-ROI#2,R87H02-ROI#0,R87H02-ROI#1,MAN-ROI#0,MAN-ROI#1,SS49172-ROI#0,SS49172-ROI#1,SS49172-ROI#2,R36G04-ROI#0,R36G04-ROI#1,R39G01-ROI#0,R39G01-ROI#1,R39G01-ROI#2,SS31219-ROI#0,SS31219-ROI#1,SS31219-ROI#2,R30A08-ROI#0,R30A08-ROI#1,SS44270-ROI#0,SS44270-ROI#1,SS44270-ROI#2,SS41605-ROI#0,SS41605-ROI#1,SS41605-ROI#2,SS41605-ROI#3,SS29579-ROI#0,SS29579-ROI#1,SS29579-ROI#2,SS29579-ROI#3,SS29579-ROI#4,SS29579-ROI#5,SS51046-ROI#0,SS51046-ROI#1,SS29893-ROI#0,SS29893-ROI#1,SS29893-ROI#2,SS29893-ROI#3,SS34574-ROI#0,SS34574-ROI#1,R70H06-ROI#0,R70H06-ROI#1,R70H06-ROI#2,SS42740-ROI#0,SS42740-ROI#1,SS28596-ROI#0,SS28596-ROI#1,SS28596-ROI#2,SS28596-ROI#3,SS28596-ROI#4,SS28596-ROI#5,SS25469-ROI#0,SS25469-ROI#1,SS31232-ROI#0,SS31232-ROI#1,SS30303-ROI#0,SS30303-ROI#1,SS25451-ROI#0,SS25451-ROI#1,SS25451-ROI#2,SS25451-ROI#3,SS25451-ROI#4,SS25451-ROI#5,SS25451-ROI#6,SS40134-ROI#0,SS40134-ROI#1,SS29621-ROI#0,SS29621-ROI#1,R69H10-ROI#0,R69H10-ROI#1,R69H10-ROI#2,SS51038-ROI#0,SS51038-ROI#1,SS51038-ROI#2,SS51038-ROI#3,SS51038-ROI#4,SS42008-ROI#0,SS42008-ROI#1,SS42008-ROI#2,SS42008-ROI#3,SS36118-ROI#0,SS36118-ROI#1,SS36118-ROI#2,SS36118-ROI#3,SS36118-ROI#4,SS36118-ROI#5,SS40619-ROI#0,SS40619-ROI#1,SS45363-ROI#0,SS45363-ROI#1,SS45363-ROI#2,SS45363-ROI#3,SS52147-ROI#0,SS52147-ROI#1
F_Walk,n.s,n.s,n.s,n.s,n.s,**,n.s,n.s,n.s,***,n.s,n.s,n.s,**,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,***,n.s,n.s,n.s,n.s,n.s,***,**,***,n.s,n.s,***,***,***,***,n.s,n.s,*,n.s,***,***,*,***,***,***,***,***,n.s,n.s,***,***,**,n.s,***,***,n.s,***,***,***,n.s,***,***,***,***,***,***,***,***,***,***,***,***,***,n.s,n.s,***,***,n.s,***,*,***,***,***,***,***,***,n.s,***,***,***,***,***,***,***,***,***,***,***,n.s,***,***,***,***,***,***,***,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,**,***,***,***,***,***,n.s,n.s,**,***,***,n.s,***,n.s,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,***,***,***,***,***,n.s,***
B_Walk,n.s,n.s,n.s,n.s,n.s,***,**,n.s,n.s,n.s,n.s,n.s,n.s,**,n.s,n.s,n.s,n.s,n.s,n.s,***,n.s,n.s,n.s,***,***,***,***,***,***,n.s,n.s,***,***,***,***,n.s,n.s,***,***,***,***,n.s,n.s,**,n.s,n.s,***,n.s,n.s,n.s,***,***,**,n.s,n.s,***,***,n.s,n.s,**,*,n.s,n.s,n.s,n.s,n.s,***,***,***,***,***,***,n.s,n.s,n.s,n.s,n.s,n.s,*,n.s,n.s,*,*,n.s,***,*,n.s,n.s,***,***,***,***,n.s,***,***,***,n.s,*,*,n.s,n.s,n.s,***,***,n.s,***,***,n.s,***,**,***,***,**,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,n.s,n.s,*,***,n.s,n.s,n.s,***,***,n.s,***,n.s,*,**,n.s,n.s,n.s,***,***,n.s,***,***,***,***,***,***,***,***
Push,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,**,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,***,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,n.s,*,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,***,***,***,n.s,*,n.s,*,n.s,***,***,***,***,***,***,***,n.s,*,n.s,***,***,***,n.s,n.s,n.s,n.s,n.s,*,n.s,***,***,***,***,***,***,n.s,***,n.s,***,n.s,n.s,***,***,**,***,n.s,n.s,n.s,***,***,***,***,***,***,***,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,n.s,n.s,*,n.s,n.s,n.s,***
Rest,***,***,***,***,***,n.s,n.s,n.s,***,n.s,***,n.s,***,***,***,***,***,***,n.s,***,n.s,***,***,***,***,n.s,n.s,*,n.s,n.s,n.s,n.s,n.s,n.s,n.s,*,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,*,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,*,n.s,n.s,***,***,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,n.s,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,**,***,n.s,n.s,n.s,*,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,n.s,n.s,n.s,**,n.s,n.s,***,***,n.s,***,n.s,**,***,***,n.s,***,n.s,***,n.s,n.s,**,n.s,n.s,***,n.s,n.s,n.s,*,n.s,n.s,***,***
E_groom,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,**,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,*,***,*,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,***,n.s,**,***,***,**,***,***,***,***,***,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,**,***,**,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,***
A_groom,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,**,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s
FL_rub,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,*,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,*,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,***,n.s,***,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,*,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s
Abd_groom,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s
HL_rub,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,*,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,*,n.s,n.s,n.s,n.s
PE,**,n.s,***,***,***,n.s,n.s,n.s,***,n.s,***,n.s,***,***,***,***,**,***,n.s,***,n.s,***,***,***,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,*,n.s,n.s,**,***,n.s,***,n.s,n.s,n.s,n.s,n.s,n.s,*,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,***,***,n.s,n.s,n.s,**,***,***,***,n.s,***,***,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,***,***,***,n.s,n.s,*,n.s,n.s,***,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,n.s,***,***,***,***,n.s,n.s,***,n.s,***,n.s,n.s,*,n.s,n.s,n.s,***,***,n.s,***,n.s,**,***,***,n.s,***,n.s,n.s,***,***,n.s,n.s,n.s,n.s,n.s,n.s,n.s,*,n.s,n.s,*,***
