"","Position","Window.size","r.squared","Fold","ROI"
"127","masked_pre",61,0.350155999889066,10,0
"128","masked_pre",61,0.322931487560776,8,0
"129","masked_pre",61,0.324807741343555,5,0
"130","masked_pre",61,0.33762661681135,9,0
"131","masked_pre",61,0.392019346164233,3,1
"132","masked_pre",61,0.403212114492359,2,1
"133","masked_pre",61,0.399854200648115,1,1
"134","masked_pre",61,0.403287397437178,6,1
"135","masked_pre",61,0.39517161699942,7,1
"136","masked_pre",61,0.413355492528395,4,1
"137","masked_pre",61,0.405526914007552,10,1
"138","masked_pre",61,0.422015534387489,8,1
"139","masked_pre",61,0.38372999889428,5,1
"140","masked_pre",61,0.385536144135936,9,1
"141","masked_pre",71,0.365979076136471,3,0
"142","masked_pre",71,0.383574569591795,2,0
"143","masked_pre",71,0.356788880842885,1,0
"144","masked_pre",71,0.33833845718368,6,0
"145","masked_pre",71,0.341172464323825,7,0
"146","masked_pre",71,0.345709622078488,4,0
"147","masked_pre",71,0.370416180841813,10,0
"148","masked_pre",71,0.343493836794445,8,0
"149","masked_pre",71,0.347048120178899,5,0
"150","masked_pre",71,0.357495990360531,9,0
"151","masked_pre",71,0.416327853270601,3,1
"152","masked_pre",71,0.427850769910623,2,1
"153","masked_pre",71,0.426395509889083,1,1
"154","masked_pre",71,0.426235370042332,6,1
"155","masked_pre",71,0.420852666154281,7,1
"156","masked_pre",71,0.437958993893687,4,1
"157","masked_pre",71,0.428808833623319,10,1
"158","masked_pre",71,0.444476380398437,8,1
"159","masked_pre",71,0.408508210871403,5,1
"160","masked_pre",71,0.412564792304907,9,1
"161","masked_pre",81,0.384181288333873,3,0
"162","masked_pre",81,0.403020940009429,2,0
"163","masked_pre",81,0.377189710678937,1,0
"164","masked_pre",81,0.358704808370361,6,0
"165","masked_pre",81,0.360390420569598,7,0
"166","masked_pre",81,0.362377253495839,4,0
"167","masked_pre",81,0.389492974726559,10,0
"168","masked_pre",81,0.362808422553111,8,0
"169","masked_pre",81,0.367416125778278,5,0
"170","masked_pre",81,0.376914865578438,9,0
"171","masked_pre",81,0.443343256667332,3,1
"172","masked_pre",81,0.452083164660149,2,1
"173","masked_pre",81,0.452692579037644,1,1
"174","masked_pre",81,0.448935384658747,6,1
"175","masked_pre",81,0.446543040704598,7,1
"176","masked_pre",81,0.462969388019381,4,1
"177","masked_pre",81,0.451401170677359,10,1
"178","masked_pre",81,0.469824918637347,8,1
"179","masked_pre",81,0.433807503229302,5,1
"180","masked_pre",81,0.440961969144307,9,1
"181","masked_pre",91,0.402276278550438,3,0
"182","masked_pre",91,0.420494249771984,2,0
"183","masked_pre",91,0.392951784660503,1,0
"184","masked_pre",91,0.375957699312632,6,0
"185","masked_pre",91,0.37837588871705,7,0
"186","masked_pre",91,0.37870363064124,4,0
"187","masked_pre",91,0.404949720589298,10,0
"188","masked_pre",91,0.38052493570279,8,0
"189","masked_pre",91,0.385036345523785,5,0
"190","masked_pre",91,0.394191314172107,9,0
"191","masked_pre",91,0.468802801221319,3,1
"192","masked_pre",91,0.476791877787065,2,1
"193","masked_pre",91,0.477266311885508,1,1
"194","masked_pre",91,0.471161686947632,6,1
"195","masked_pre",91,0.469284237264273,7,1
"196","masked_pre",91,0.48595228961485,4,1
"197","masked_pre",91,0.473262167609332,10,1
"198","masked_pre",91,0.493667715279748,8,1
"199","masked_pre",91,0.457395832028068,5,1
"200","masked_pre",91,0.46718350185497,9,1
"201","masked_pre",101,0.422356071912814,3,0
"202","masked_pre",101,0.437994073063317,2,0
"203","masked_pre",101,0.40984432755718,1,0
"204","masked_pre",101,0.3939637371635,6,0
"205","masked_pre",101,0.396995798495024,7,0
"206","masked_pre",101,0.39686779649184,4,0
"207","masked_pre",101,0.421272104450962,10,0
"208","masked_pre",101,0.39952239958506,8,0
"209","masked_pre",101,0.404459785245953,5,0
"210","masked_pre",101,0.411595826371538,9,0
"211","masked_pre",101,0.493232047886874,3,1
"212","masked_pre",101,0.501314118901533,2,1
"213","masked_pre",101,0.503322292251788,1,1
"214","masked_pre",101,0.49545204843351,6,1
"215","masked_pre",101,0.493774207193607,7,1
"216","masked_pre",101,0.509645381292799,4,1
"217","masked_pre",101,0.49545598214803,10,1
"218","masked_pre",101,0.518082174245001,8,1
"219","masked_pre",101,0.481652068467111,5,1
"220","masked_pre",101,0.492070384342278,9,1
"221","masked_pre",111,0.440113807044752,3,0
"222","masked_pre",111,0.453963685683384,2,0
"223","masked_pre",111,0.426667016342089,1,0
"224","masked_pre",111,0.41158389604544,6,0
"225","masked_pre",111,0.413633087181446,7,0
"226","masked_pre",111,0.413356186611985,4,0
"227","masked_pre",111,0.437662057347178,10,0
"228","masked_pre",111,0.416760017854969,8,0
"229","masked_pre",111,0.422446860534723,5,0
"230","masked_pre",111,0.427715316063229,9,0
"231","masked_pre",111,0.514958915755395,3,1
"232","masked_pre",111,0.52239132574027,2,1
"233","masked_pre",111,0.527568861489927,1,1
"234","masked_pre",111,0.51944295854295,6,1
"235","masked_pre",111,0.518773318456424,7,1
"236","masked_pre",111,0.531324870995994,4,1
"237","masked_pre",111,0.516139611471902,10,1
"238","masked_pre",111,0.542136472434995,8,1
"239","masked_pre",111,0.504208758487823,5,1
"240","masked_pre",111,0.515342643614814,9,1
"241","masked_pre",121,0.452771019873191,3,0
"242","masked_pre",121,0.465268707868813,2,0
"243","masked_pre",121,0.440070216056992,1,0
"244","masked_pre",121,0.424871175879306,6,0
"245","masked_pre",121,0.42573667060511,7,0
"246","masked_pre",121,0.425816841314614,4,0
"247","masked_pre",121,0.4508365058148,10,0
"248","masked_pre",121,0.430470641992259,8,0
"249","masked_pre",121,0.43660492205767,5,0
"250","masked_pre",121,0.439604246424871,9,0
"251","masked_pre",121,0.532446417543774,3,1
"252","masked_pre",121,0.538636021821969,2,1
"253","masked_pre",121,0.545859530335556,1,1
"254","masked_pre",121,0.537517539264133,6,1
"255","masked_pre",121,0.538709785746824,7,1
