"","Genotype","ROI","Fold","r.squared","adj.r.squared","F p-value","lambda","Regressor","Coefficient"
"1","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"(Intercept)",-0.106859651083891
"2","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.yaw.conv",-0.484693943601038
"3","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.pitch.conv",0.785661799243138
"4","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.roll.conv",-0.187076974595161
"5","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.th_fe.conv",-0.0299328531086574
"6","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.th_ti.conv",0.157288721593412
"7","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.roll_tr.conv",0.130524487812433
"8","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.th_ta.conv",-0.0739250657986207
"9","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.yaw.conv",0.160912407871393
"10","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.pitch.conv",-0.0629131035283368
"11","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.roll.conv",0.180643653548182
"12","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.th_fe.conv",-0.219887523812358
"13","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.th_ti.conv",0.0921199990524813
"14","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.roll_tr.conv",-0.244207986683174
"15","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.th_ta.conv",0.319206965425272
"16","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LH_leg.yaw.conv",0.0647166909516223
"17","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LH_leg.pitch.conv",-0.00688951956323768
"18","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LH_leg.roll.conv",-0.59693351584246
"19","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LH_leg.th_fe.conv",-0.217855358999328
"20","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LH_leg.th_ti.conv",-0.0360527000549839
"21","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LH_leg.roll_tr.conv",-0.215516683142758
"22","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LH_leg.th_ta.conv",0.511413503185701
"23","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RF_leg.yaw.conv",-0.515928460612727
"24","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RF_leg.pitch.conv",0.24150149673864
"25","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RF_leg.roll.conv",-0.152246097060685
"26","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RF_leg.th_fe.conv",0.126370837798517
"27","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RF_leg.th_ti.conv",-0.0724194953936024
"28","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RF_leg.roll_tr.conv",0.184589018086488
"29","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RF_leg.th_ta.conv",0.0442221675257199
"30","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RM_leg.yaw.conv",-0.592732397222076
"31","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RM_leg.pitch.conv",0.352178334876521
"32","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RM_leg.roll.conv",0.350946667831277
"33","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RM_leg.th_fe.conv",0.0445636046125847
"34","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RM_leg.th_ti.conv",-0.1713228799264
"35","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RM_leg.roll_tr.conv",-0.242332622285187
"36","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RM_leg.th_ta.conv",0.0525460856396977
"37","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RH_leg.yaw.conv",0.0167844922544815
"38","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RH_leg.pitch.conv",0.267571422059923
"39","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RH_leg.roll.conv",0.370160309892347
"40","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RH_leg.th_fe.conv",-0.00155552874654224
"41","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RH_leg.th_ti.conv",0.1419744052549
"42","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RH_leg.roll_tr.conv",0.0691368586088473
"43","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.RH_leg.th_ta.conv",0.54125678677822
"44","iav",0,2,0.809338038745469,0.803833010286711,0,0.00950151618873775,"(Intercept)",-0.175128786927325
"45","iav",0,2,0.809338038745469,0.803833010286711,0,0.00950151618873775,"Angle.LF_leg.yaw.conv",-0.506707667916035
"46","iav",0,2,0.809338038745469,0.803833010286711,0,0.00950151618873775,"Angle.LF_leg.pitch.conv",0.789617523694596
"47","iav",0,2,0.809338038745469,0.803833010286711,0,0.00950151618873775,"Angle.LF_leg.roll.conv",-0.185929972808465
