"","Genotype","ROI","Fold","r.squared","adj.r.squared","F.p.value","lambda","Regressor","adj.r.sq.w.o.explained.variance","r.sq.w.o.explained.variance","adj.r.sq.only.explained.variance","r.sq.only.explained.variance"
"1","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.yaw",0.807723339970221,0.813115503486789,0.0791367751495947,0.104961256831446
"2","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.pitch",0.809279162331072,0.8146276947144,-0.033507029924694,-0.0045235906450003
"3","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.roll",0.807270607126916,0.81267546698177,-0.0233657680227823,0.00533327198332834
"4","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.th_fe",0.818444148860006,0.823535660417284,-0.00953129480056814,0.0187797743422657
"5","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.th_ti",0.809691663403956,0.815028627699741,0.117675633657146,0.142419340237213
"6","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.roll_tr",0.812648398201767,0.817902444490226,0.0517396680463663,0.0783324680532739
"7","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LF_leg.th_ta",0.815383843610212,0.820561177681335,-0.0187363120031159,0.00983290057699882
"8","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.yaw",0.81777035002061,0.822880757441373,-0.0138144463723173,0.0146167385122689
"9","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.pitch",0.817775455651014,0.822885719890623,0.0614338384712874,0.0877547773376876
"10","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.roll",0.816478334058278,0.821624974484824,0.0428492193988748,0.0696913411530786
"11","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.th_fe",0.814590354170828,0.819789940681769,0.0434241051812182,0.0702501049675177
"12","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.th_ti",0.816084763204768,0.821242440844032,-0.0136622835108247,0.0147646341526114
"13","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.roll_tr",0.813889059656287,0.819108313113258,-0.0328705647703844,-0.00390497437668702
"14","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LM_leg.th_ta",0.812580224921924,0.817836183046548,0.00785703743181709,0.0356804720866019
"15","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LH_leg.yaw",0.817745936712142,0.82285702877425,0.0845187262850609,0.110192277736711
"16","iav",0,1,0.823347613136076,0.818250675865547,0,0.00949471418962431,"Angle.LH_leg.pitch",0.818288109592309,0.823383997079802,-0.0393693148155945,-0.0102214749336251
